gen,best,avg,species
1,557.4508,70.8178,10
2,456.1119,23.4973,15
3,558.6183,164.5688,11
4,616.7138,195.4157,14
5,438.9062,77.7108,19
6,442.3724,-17.4987,20
7,550.4770,7.3937,15
8,457.4472,68.7083,7
9,642.6669,119.9632,11
10,454.0939,38.0669,18
11,355.8418,54.0218,26
12,504.1683,9.6873,23
13,244.5639,-91.3998,8
14,453.2010,7.6246,10
15,463.9298,20.9277,10
16,244.8306,-88.6904,5
17,456.0923,121.5250,11
18,324.8625,43.9511,15
19,417.6340,52.1752,21
20,363.3722,60.2531,16
21,259.0897,-13.2986,31
22,425.9006,-7.9708,16
23,237.3299,-94.7027,6
24,520.5726,61.9271,8
25,400.9565,-29.6428,12
26,340.7466,0.2265,11
27,447.7211,34.3028,12
28,335.7982,56.4802,10
29,334.8272,-38.2543,11
30,442.1153,99.1983,4
31,311.1913,0.5223,9
32,389.0428,43.9537,11
33,450.6232,48.9094,8
34,380.9160,-78.2538,6
35,252.0507,-16.4332,7
36,450.6005,93.1406,12
37,425.1684,79.8328,9
38,354.2798,-6.8591,19
39,339.4253,48.7282,20
40,538.3423,94.2056,18
41,348.5249,80.2878,20
42,156.6167,-98.2684,28
43,271.7862,-47.7811,26
44,430.3566,56.0839,14
45,355.3441,-83.5416,16
46,547.2620,195.4960,11
47,446.6156,-43.6762,14
48,460.1850,4.2683,11
49,455.5332,-20.9948,8
50,342.3703,56.0910,16
51,534.4266,-1.7264,16
52,635.7155,97.9396,6
53,546.6730,138.4807,11
54,290.9309,-37.1590,14
55,529.9122,26.6769,13
56,451.9989,201.4751,5
57,458.2979,-22.2771,12
58,432.9393,21.3968,10
59,159.1425,-67.6755,12
60,261.2576,-31.9386,5
61,536.5959,122.4730,10
62,551.0764,144.5542,16
63,558.4556,133.0359,19
64,537.4648,-32.5415,18
65,513.1231,37.0719,16
66,635.0879,184.9289,5
67,344.0910,-36.4950,5
68,326.7249,-86.3265,7
69,441.6664,111.6435,11
70,334.5245,16.9659,17
71,519.9666,-11.3289,14
72,443.8047,81.0719,6
73,504.3370,20.0676,16
74,522.5047,-20.8144,7
75,545.6465,166.5659,10
76,427.6516,61.8140,19
77,439.4468,13.9305,19
78,642.4548,187.9256,5
79,442.9623,85.2411,7
80,541.6188,87.8873,18
81,525.4891,51.6811,22
82,404.2897,54.2473,8
83,420.0652,10.9706,8
84,348.4764,9.0460,17
85,443.9869,52.7342,14
86,460.3677,98.4012,22
87,435.8485,86.8771,22
88,438.5638,-79.6770,20
89,306.2063,-95.6434,3
90,538.9387,127.8453,9
91,450.2877,-16.7789,7
92,458.8721,75.9437,10
93,331.4299,-83.7646,9
94,437.8863,142.8046,15
95,521.7962,133.8398,17
96,455.3149,-73.0251,19
97,211.7622,-95.2529,5
98,523.9824,136.0062,10
99,448.3533,77.7655,14
100,554.1172,110.7982,17
101,444.6522,48.6710,16
102,232.3028,-111.3857,10
103,231.7045,-74.5198,11
104,396.0790,-3.9251,11
105,434.3004,84.0571,11
106,432.1402,20.1517,11
107,523.4774,152.6859,7
108,509.0594,164.1094,6
109,447.3578,41.9333,20
110,451.8849,36.7061,16
111,485.7103,138.1507,14
112,519.7404,6.9060,16
113,531.8076,53.3256,7
114,492.4577,49.9592,7
115,386.6476,-46.2657,10
116,552.7120,179.9754,8
117,528.2990,73.2540,11
118,539.2597,144.4330,9
119,439.7054,-7.3955,15
120,632.1116,90.9840,10
121,540.4147,117.7877,14
122,612.1163,126.2125,22
123,445.3606,58.5361,25
124,541.7874,-50.5975,19
125,248.5503,-61.5442,4
126,540.5150,74.6077,3
127,543.2119,124.5676,5
128,649.3271,49.7465,8
129,452.5890,119.1185,11
130,551.0042,8.0522,17
131,648.2264,-37.5462,17
132,331.0035,22.0027,5
133,543.7447,40.2488,8
134,447.9546,-73.6183,8
135,650.9712,312.8081,14
136,655.5783,221.6802,24
137,549.8703,146.6875,31
138,637.0507,126.6884,35
139,442.3133,34.1989,46
140,552.3923,33.4137,30
141,641.7607,273.6098,14
142,636.8466,54.6065,15
143,642.6277,107.2460,9
144,519.1638,27.0622,11
145,559.3550,72.7773,11
146,637.4867,83.6709,11
147,454.6896,61.8538,4
148,531.2213,130.9967,10
149,555.2162,52.8979,17
150,626.9011,16.6118,4
151,548.1901,143.8392,5
152,352.1121,-17.5270,11
153,446.4365,-3.7828,13
154,622.3828,192.9571,16
155,447.2860,52.3818,14
156,554.0805,94.8787,11
157,646.3306,100.8423,17
158,531.6086,32.9533,14
159,547.4067,-38.6411,8
160,543.1504,156.8178,7
161,574.0195,14.4223,19
162,545.8192,-17.8679,7
163,547.8529,191.3500,9
164,650.0796,206.1094,13
165,456.1019,97.7201,17
166,537.8329,23.2322,24
167,650.7797,165.9917,18
168,545.4805,192.7075,10
169,434.3247,-27.9238,12
170,269.3740,-44.3354,6
171,551.3959,225.4956,5
172,649.0305,69.3174,16
173,541.2363,138.2724,9
174,617.8677,38.4806,18
175,549.8235,-8.1940,10
176,642.6660,141.6726,12
177,633.3603,2.7153,15
178,404.2646,-98.5044,10
179,659.7207,236.5562,4
180,555.7864,159.9820,11
181,557.1746,138.8476,17
182,549.8454,134.3782,19
183,548.9679,120.0199,19
184,628.0524,12.3649,16
185,517.3377,31.7657,4
186,565.0275,234.7070,5
187,463.2773,37.2160,6
188,365.1775,9.9996,19
189,523.5971,9.1299,9
190,363.0401,-47.3089,8
191,546.4044,225.5682,13
192,621.4291,145.1505,14
193,661.5568,123.7213,22
194,550.0960,145.9161,25
195,556.1234,104.0438,23
196,544.6531,39.4014,21
197,621.6644,49.3728,6
198,456.9281,70.2796,4
199,545.2905,173.2329,1
200,447.8922,-81.0262,7
201,648.3546,238.1522,9
202,555.7903,159.6574,14
203,641.0671,160.6170,19
204,553.7640,100.5217,23
205,424.4518,39.5046,25
206,456.4459,11.9026,20
207,556.2156,-24.2744,4
208,528.2762,177.8893,5
209,586.8240,163.3068,14
210,441.6067,66.7503,14
211,531.6836,-38.0892,15
212,631.2734,171.2071,4
213,550.0197,187.9204,7
214,566.5937,76.7292,17
215,542.0897,98.7742,22
216,656.9722,166.3579,21
217,550.0961,-0.6316,20
218,645.1324,55.8608,3
219,438.3061,14.6828,2
220,555.2612,129.4489,8
221,451.4179,-52.3826,11
222,636.4467,245.5256,8
223,647.6475,161.4611,15
224,450.7874,74.3913,19
225,637.8996,-26.6723,23
226,326.2268,18.5646,12
227,452.8232,-4.0889,6
228,447.4506,-74.3960,12
229,541.5112,197.7016,6
230,361.1811,46.6955,15
231,324.7582,-36.5588,15
232,518.3568,125.8071,12
233,632.1620,231.4631,17
234,645.0351,87.2895,24
235,420.9907,18.7949,27
236,553.5836,65.9105,17
237,456.3769,54.6075,13
238,548.9084,89.7046,17
239,539.1898,-18.4090,12
240,448.7712,30.9808,4
241,642.9783,242.3715,3
242,523.2780,114.0786,3
243,557.8408,111.7495,12
244,615.2930,158.0609,14
245,419.3447,-32.2733,22
246,548.3568,77.2017,18
247,547.4006,80.9128,12
248,370.9224,-65.8467,15
249,350.1657,-99.1368,2
250,395.6987,45.6736,7
